x-axis,1,2
second,Volt,Volt
-49.00E-03,-247.27E-03,-1.95703E+00
-48.00E-03,-247.27E-03,-1.95703E+00
-47.00E-03,-247.27E-03,-1.95703E+00
-46.00E-03,-247.27E-03,-1.95703E+00
-45.00E-03,-247.27E-03,-1.95703E+00
-44.00E-03,-247.27E-03,-1.95703E+00
-43.00E-03,-247.27E-03,-1.95703E+00
-42.00E-03,-247.27E-03,-1.95703E+00
-41.00E-03,-247.27E-03,-1.95703E+00
-40.00E-03,-247.27E-03,-1.95703E+00
-39.00E-03,-247.27E-03,-1.95703E+00
-38.00E-03,-247.27E-03,-1.95703E+00
-37.00E-03,-247.27E-03,-1.95703E+00
-36.00E-03,-247.27E-03,-1.95703E+00
-35.00E-03,-247.27E-03,-1.95703E+00
-34.00E-03,-247.27E-03,-1.95703E+00
-33.00E-03,-247.27E-03,-1.95703E+00
-32.00E-03,-247.27E-03,-1.95703E+00
-31.00E-03,-247.27E-03,-1.95703E+00
-30.00E-03,-247.27E-03,-1.95703E+00
-29.00E-03,-247.27E-03,-1.95508E+00
-28.00E-03,-247.27E-03,-1.95508E+00
-27.00E-03,-247.27E-03,-1.95508E+00
-26.00E-03,-247.27E-03,-1.95703E+00
-25.00E-03,-247.27E-03,-1.95703E+00
-24.00E-03,-247.27E-03,-1.95508E+00
-23.00E-03,-247.27E-03,-1.95508E+00
-22.00E-03,-247.27E-03,-1.95508E+00
-21.00E-03,-247.27E-03,-1.95508E+00
-20.00E-03,-247.27E-03,-1.95703E+00
-19.00E-03,-247.27E-03,-1.95703E+00
-18.00E-03,-247.27E-03,-1.95703E+00
-17.00E-03,-245.31E-03,-1.95703E+00
-16.00E-03,-247.27E-03,-1.95508E+00
-15.00E-03,-247.27E-03,-1.95703E+00
-14.00E-03,-247.27E-03,-1.95703E+00
-13.00E-03,-247.27E-03,-1.95703E+00
-12.00E-03,-247.27E-03,-1.95703E+00
-11.00E-03,-247.27E-03,-1.95703E+00
-10.00E-03,-247.27E-03,-1.95703E+00
-9.00E-03,-245.31E-03,-1.95703E+00
-8.00E-03,-233.59E-03,-1.95703E+00
-7.00E-03,-169.14E-03,-1.95508E+00
-6.00E-03,-106.64E-03,-1.95117E+00
-5.00E-03,-50.00E-03,-1.94727E+00
-4.00E-03,+4.69E-03,-1.94141E+00
-3.00E-03,+55.47E-03,-1.93359E+00
-2.00E-03,+106.25E-03,-1.92383E+00
-1.00E-03,+155.08E-03,-1.91406E+00
+0.0E+00,+200.00E-03,-1.90430E+00
+1.00E-03,+242.97E-03,-1.89258E+00
